sampleID,groupID
Subject647Age70_Pre_TableS6,TableS6
Subject656Age70_Pre_TableS6,TableS6
Subject611Age72_Pre_TableS6,TableS6
Subject627Age68_Pre_TableS6,TableS6
Subject144Age18_Pre_TableS6,TableS6
Subject675Age66_Pre_TableS6,TableS6
Subject680Age65_Pre_TableS6,TableS6
Subject107Age40_Pre_TableS6,TableS6
Subject130Age20_Pre_TableS6,TableS6
Subject625Age67_Pre_TableS6,TableS6
Subject112Age21_Pre_TableS6,TableS6
Subject673Age74_Pre_TableS6,TableS6
Subject150Age19_Pre_TableS6,TableS6
Subject623Age73_Pre_TableS6,TableS6
Subject667Age68_Pre_TableS6,TableS6
Subject136Age21_Pre_TableS6,TableS6
Subject622Age71_Pre_TableS6,TableS6
Subject653Age70_Pre_TableS6,TableS6
Subject659Age62_Pre_TableS6,TableS6
Subject637Age66_Pre_TableS6,TableS6
Subject672Age73_Pre_TableS6,TableS6
Subject621Age74_Pre_TableS6,TableS6
Subject104Age26_Pre_TableS6,TableS6
Subject109Age21_Pre_TableS6,TableS6
Subject71Age18_Post_TableS6,TableS6
Subject77Age19_Post_TableS6,TableS6
Subject88Age19_Post_TableS6,TableS6
Subject90Age19_Post_TableS6,TableS6
Subject99Age27_Post_TableS6,TableS6
Subject117Age19_Post_TableS6,TableS6
Subject147Age19_Post_TableS6,TableS6
Subject178Age22_Post_TableS6,TableS6
Subject181Age18_Post_TableS6,TableS6
Subject8Age27_Post_TableS6,TableS6
Subject24Age22_Post_TableS6,TableS6
Subject25Age19_Post_TableS6,TableS6
Subject29Age24_Post_TableS6,TableS6
Subject30Age21_Post_TableS6,TableS6
Subject40Age21_Post_TableS6,TableS6
Subject50Age49_Post_TableS6,TableS6
Subject53Age22_Post_TableS6,TableS6
Subject60Age26_Post_TableS6,TableS6
Subject64Age21_Post_TableS6,TableS6
Subject67Age26_Post_TableS6,TableS6
Subject69Age20_Post_TableS6,TableS6
Subject76Age18_Post_TableS6,TableS6
Subject81Age24_Post_TableS6,TableS6
Subject83Age45_Post_TableS6,TableS6
Subject86Age18_Post_TableS6,TableS6
Subject93Age19_Post_TableS6,TableS6
Subject116Age32_Post_TableS6,TableS6
Subject128Age28_Post_TableS6,TableS6
Subject135Age21_Post_TableS6,TableS6
Subject137Age21_Post_TableS6,TableS6
Subject138Age19_Post_TableS6,TableS6
Subject145Age20_Post_TableS6,TableS6
Subject157Age19_Post_TableS6,TableS6
Subject161Age31_Post_TableS6,TableS6
Subject163Age33_Post_TableS6,TableS6
Subject166Age46_Post_TableS6,TableS6
Subject180Age20_Post_TableS6,TableS6
Subject186Age28_Post_TableS6,TableS6
Subject189Age47_Post_TableS6,TableS6
Subject195Age20_Post_TableS6,TableS6
Subject199Age26_Post_TableS6,TableS6
Subject106Age27_Post_TableS6,TableS6
Subject123Age18_Post_TableS6,TableS6
Subject642Age64_Post_TableS6,TableS6
Subject646Age73_Post_TableS6,TableS6
Subject652Age75_Post_TableS6,TableS6
Subject612Age67_Post_TableS6,TableS6
Subject615Age72_Post_TableS6,TableS6
Subject616Age73_Post_TableS6,TableS6
Subject618Age70_Post_TableS6,TableS6
Subject619Age75_Post_TableS6,TableS6
Subject620Age74_Post_TableS6,TableS6
Subject624Age63_Post_TableS6,TableS6
Subject626Age75_Post_TableS6,TableS6
Subject628Age72_Post_TableS6,TableS6
Subject629Age73_Post_TableS6,TableS6
Subject630Age74_Post_TableS6,TableS6
Subject632Age62_Post_TableS6,TableS6
Subject634Age69_Post_TableS6,TableS6
Subject635Age68_Post_TableS6,TableS6
Subject636Age69_Post_TableS6,TableS6
Subject640Age66_Post_TableS6,TableS6
Subject644Age70_Post_TableS6,TableS6
Subject648Age75_Post_TableS6,TableS6
Subject649Age71_Post_TableS6,TableS6
Subject650Age70_Post_TableS6,TableS6
Subject651Age72_Post_TableS6,TableS6
Subject654Age68_Post_TableS6,TableS6
Subject655Age71_Post_TableS6,TableS6
Subject657Age73_Post_TableS6,TableS6
Subject658Age70_Post_TableS6,TableS6
Subject660Age68_Post_TableS6,TableS6
Subject661Age71_Post_TableS6,TableS6
Subject662Age70_Post_TableS6,TableS6
Subject664Age75_Post_TableS6,TableS6
Subject668Age67_Post_TableS6,TableS6
Subject670Age64_Post_TableS6,TableS6
Subject671Age75_Post_TableS6,TableS6
Subject674Age70_Post_TableS6,TableS6
Subject677Age65_Post_TableS6,TableS6
Subject645Age69_Post_TableS6,TableS6
Subject101Age23_Post_TableS6,TableS6
Subject119Age23_Post_TableS6,TableS6
Subject125Age20_Post_TableS6,TableS6
Subject143Age20_Post_TableS6,TableS6
Subject168Age32_Post_TableS6,TableS6
Subject174Age19_Post_TableS6,TableS6
Subject153Age18_Post_TableS6,TableS6
Subject156Age19_Post_TableS6,TableS6
Subject169Age18_Post_TableS6,TableS6
Subject159Age39_Post_TableS6,TableS6
Subject631Age66_Post_TableS6,TableS6
Subject665Age66_Post_TableS6,TableS6
Subject669Age64_Post_TableS6,TableS6
Subject614Age72_Post_TableS6,TableS6
Subject676Age73_Post_TableS6,TableS6
Subject679Age63_Post_TableS6,TableS6
Subject188Age19_Post_TableS6,TableS6
Subject613Age74_Post_TableS6,TableS6
Subject633Age70_Post_TableS6,TableS6
Subject663Age72_Post_TableS6,TableS6
Subject121Age26_Post_TableS6,TableS6
Subject639Age68_Post_TableS6,TableS6
Subject641Age61_Post_TableS6,TableS6
Subject647Age70_Post_TableS6,TableS6
Subject656Age70_Post_TableS6,TableS6
Subject611Age72_Post_TableS6,TableS6
Subject627Age68_Post_TableS6,TableS6
Subject144Age18_Post_TableS6,TableS6
Subject675Age66_Post_TableS6,TableS6
Subject680Age65_Post_TableS6,TableS6
Subject107Age40_Post_TableS6,TableS6
Subject130Age20_Post_TableS6,TableS6
Subject625Age67_Post_TableS6,TableS6
Subject112Age21_Post_TableS6,TableS6
Subject673Age74_Post_TableS6,TableS6
Subject150Age19_Post_TableS6,TableS6
Subject623Age73_Post_TableS6,TableS6
Subject667Age68_Post_TableS6,TableS6
Subject136Age21_Post_TableS6,TableS6
Subject622Age71_Post_TableS6,TableS6
Subject653Age70_Post_TableS6,TableS6
Subject659Age62_Post_TableS6,TableS6
Subject637Age66_Post_TableS6,TableS6
Subject672Age73_Post_TableS6,TableS6
Subject621Age74_Post_TableS6,TableS6
Subject104Age26_Post_TableS6,TableS6
Subject109Age21_Post_TableS6,TableS6
SubjectA028_Pre_TableS13,TableS13
SubjectA004_Pre_TableS13,TableS13
SubjectB029_Pre_TableS13,TableS13
SubjectB030_Pre_TableS13,TableS13
SubjectB007_Pre_TableS13,TableS13
SubjectB025_Pre_TableS13,TableS13
SubjectB001_Pre_TableS13,TableS13
SubjectA024_Pre_TableS13,TableS13
SubjectA017_Pre_TableS13,TableS13
SubjectA032_Pre_TableS13,TableS13
SubjectB020_Pre_TableS13,TableS13
SubjectA026_Pre_TableS13,TableS13
SubjectB015_Pre_TableS13,TableS13
SubjectB003_Pre_TableS13,TableS13
SubjectA001_Pre_TableS13,TableS13
SubjectB021_Pre_TableS13,TableS13
SubjectA041_Pre_TableS13,TableS13
SubjectA045_Pre_TableS13,TableS13
SubjectA040_Pre_TableS13,TableS13
SubjectA020_Pre_TableS13,TableS13
SubjectA006_Pre_TableS13,TableS13
SubjectA010_Pre_TableS13,TableS13
SubjectB031_Pre_TableS13,TableS13
SubjectA038_Pre_TableS13,TableS13
SubjectB041_Pre_TableS13,TableS13
SubjectB004_Pre_TableS13,TableS13
SubjectB039_Pre_TableS13,TableS13
SubjectA018_Pre_TableS13,TableS13
SubjectB026_Pre_TableS13,TableS13
SubjectB002_Pre_TableS13,TableS13
SubjectB005_Pre_TableS13,TableS13
SubjectB018_Pre_TableS13,TableS13
SubjectA034_Pre_TableS13,TableS13
SubjectA012_Pre_TableS13,TableS13
SubjectA039_Pre_TableS13,TableS13
SubjectB037_Pre_TableS13,TableS13
SubjectA008_Pre_TableS13,TableS13
SubjectA005_Pre_TableS13,TableS13
SubjectB012_Pre_TableS13,TableS13
SubjectA048_Pre_TableS13,TableS13
SubjectB027_Pre_TableS13,TableS13
SubjectB042_Pre_TableS13,TableS13
SubjectB014_Pre_TableS13,TableS13
SubjectB017_Pre_TableS13,TableS13
SubjectA033_Pre_TableS13,TableS13
SubjectA050_Pre_TableS13,TableS13
SubjectB019_Pre_TableS13,TableS13
SubjectB006_Pre_TableS13,TableS13
SubjectA036_Pre_TableS13,TableS13
SubjectA025_Pre_TableS13,TableS13
SubjectA016_Pre_TableS13,TableS13
SubjectB035_Pre_TableS13,TableS13
SubjectA003_Pre_TableS13,TableS13
SubjectB011_Pre_TableS13,TableS13
SubjectB010_Pre_TableS13,TableS13
SubjectA049_Pre_TableS13,TableS13
SubjectA009_Pre_TableS13,TableS13
SubjectA022_Pre_TableS13,TableS13
SubjectB036_Pre_TableS13,TableS13
SubjectA044_Pre_TableS13,TableS13
SubjectA002_Pre_TableS13,TableS13
SubjectB024_Pre_TableS13,TableS13
SubjectA043_Pre_TableS13,TableS13
SubjectA011_Pre_TableS13,TableS13
SubjectA047_Pre_TableS13,TableS13
SubjectB034_Pre_TableS13,TableS13
SubjectB032_Pre_TableS13,TableS13
SubjectA013_Pre_TableS13,TableS13
SubjectB040_Pre_TableS13,TableS13
SubjectA014_Pre_TableS13,TableS13
SubjectB033_Pre_TableS13,TableS13
SubjectB038_Pre_TableS13,TableS13
SubjectA015_Pre_TableS13,TableS13
SubjectA029_Pre_TableS13,TableS13
SubjectB016_Pre_TableS13,TableS13
SubjectA007_Pre_TableS13,TableS13
SubjectA035_Pre_TableS13,TableS13
SubjectA030_Pre_TableS13,TableS13
SubjectB028_Pre_TableS13,TableS13
SubjectA021_Pre_TableS13,TableS13
SubjectA028_Post_TableS13,TableS13
SubjectA004_Post_TableS13,TableS13
SubjectB029_Post_TableS13,TableS13
SubjectB030_Post_TableS13,TableS13
SubjectB007_Post_TableS13,TableS13
SubjectB025_Post_TableS13,TableS13
SubjectB001_Post_TableS13,TableS13
SubjectA024_Post_TableS13,TableS13
SubjectA017_Post_TableS13,TableS13
SubjectA032_Post_TableS13,TableS13
SubjectB020_Post_TableS13,TableS13
SubjectA026_Post_TableS13,TableS13
SubjectB015_Post_TableS13,TableS13
SubjectB003_Post_TableS13,TableS13
SubjectA001_Post_TableS13,TableS13
SubjectB021_Post_TableS13,TableS13
SubjectA041_Post_TableS13,TableS13
SubjectA045_Post_TableS13,TableS13
SubjectA040_Post_TableS13,TableS13
SubjectA020_Post_TableS13,TableS13
SubjectA006_Post_TableS13,TableS13
SubjectA010_Post_TableS13,TableS13
SubjectB031_Post_TableS13,TableS13
SubjectA038_Post_TableS13,TableS13
SubjectB041_Post_TableS13,TableS13
SubjectB004_Post_TableS13,TableS13
SubjectB039_Post_TableS13,TableS13
SubjectA018_Post_TableS13,TableS13
SubjectB026_Post_TableS13,TableS13
SubjectB002_Post_TableS13,TableS13
SubjectB005_Post_TableS13,TableS13
SubjectB018_Post_TableS13,TableS13
SubjectA034_Post_TableS13,TableS13
SubjectA012_Post_TableS13,TableS13
SubjectA039_Post_TableS13,TableS13
SubjectB037_Post_TableS13,TableS13
SubjectA008_Post_TableS13,TableS13
SubjectA005_Post_TableS13,TableS13
SubjectB012_Post_TableS13,TableS13
SubjectA048_Post_TableS13,TableS13
SubjectB027_Post_TableS13,TableS13
SubjectB042_Post_TableS13,TableS13
SubjectB014_Post_TableS13,TableS13
SubjectB017_Post_TableS13,TableS13
SubjectA033_Post_TableS13,TableS13
SubjectA050_Post_TableS13,TableS13
SubjectB019_Post_TableS13,TableS13
SubjectB006_Post_TableS13,TableS13
SubjectA036_Post_TableS13,TableS13
SubjectA025_Post_TableS13,TableS13
SubjectA016_Post_TableS13,TableS13
SubjectB035_Post_TableS13,TableS13
SubjectA003_Post_TableS13,TableS13
SubjectB011_Post_TableS13,TableS13
SubjectB010_Post_TableS13,TableS13
SubjectA049_Post_TableS13,TableS13
SubjectA009_Post_TableS13,TableS13
SubjectA022_Post_TableS13,TableS13
SubjectB036_Post_TableS13,TableS13
SubjectA044_Post_TableS13,TableS13
SubjectA002_Post_TableS13,TableS13
SubjectB024_Post_TableS13,TableS13
SubjectA043_Post_TableS13,TableS13
SubjectA011_Post_TableS13,TableS13
SubjectA047_Post_TableS13,TableS13
SubjectB034_Post_TableS13,TableS13
SubjectB032_Post_TableS13,TableS13
SubjectA013_Post_TableS13,TableS13
SubjectB040_Post_TableS13,TableS13
SubjectA014_Post_TableS13,TableS13
SubjectB033_Post_TableS13,TableS13
SubjectB038_Post_TableS13,TableS13
SubjectA015_Post_TableS13,TableS13
SubjectA029_Post_TableS13,TableS13
SubjectB016_Post_TableS13,TableS13
SubjectA007_Post_TableS13,TableS13
SubjectA035_Post_TableS13,TableS13
SubjectA030_Post_TableS13,TableS13
SubjectB028_Post_TableS13,TableS13
SubjectA021_Post_TableS13,TableS13
SubjectB007_Pre_TableS14,TableS14
SubjectB024_Pre_TableS14,TableS14
SubjectA003_Pre_TableS14,TableS14
SubjectB004_Pre_TableS14,TableS14
SubjectB028_Pre_TableS14,TableS14
SubjectB034_Pre_TableS14,TableS14
SubjectA041_Pre_TableS14,TableS14
SubjectA049_Pre_TableS14,TableS14
SubjectB032_Pre_TableS14,TableS14
SubjectA031_Pre_TableS14,TableS14
SubjectA037_Pre_TableS14,TableS14
SubjectA029_Pre_TableS14,TableS14
SubjectA024_Pre_TableS14,TableS14
SubjectA048_Pre_TableS14,TableS14
SubjectA030_Pre_TableS14,TableS14
SubjectA032_Pre_TableS14,TableS14
SubjectB017_Pre_TableS14,TableS14
SubjectB012_Pre_TableS14,TableS14
SubjectA042_Pre_TableS14,TableS14
SubjectA045_Pre_TableS14,TableS14
SubjectB005_Pre_TableS14,TableS14
SubjectA050_Pre_TableS14,TableS14
SubjectA025_Pre_TableS14,TableS14
SubjectA009_Pre_TableS14,TableS14
SubjectA034_Pre_TableS14,TableS14
SubjectB001_Pre_TableS14,TableS14
SubjectB041_Pre_TableS14,TableS14
SubjectB030_Pre_TableS14,TableS14
SubjectA018_Pre_TableS14,TableS14
SubjectB022_Pre_TableS14,TableS14
SubjectA015_Pre_TableS14,TableS14
SubjectB021_Pre_TableS14,TableS14
SubjectA043_Pre_TableS14,TableS14
SubjectB002_Pre_TableS14,TableS14
SubjectA036_Pre_TableS14,TableS14
SubjectA033_Pre_TableS14,TableS14
SubjectA007_Pre_TableS14,TableS14
SubjectA040_Pre_TableS14,TableS14
SubjectA008_Pre_TableS14,TableS14
SubjectB013_Pre_TableS14,TableS14
SubjectA026_Pre_TableS14,TableS14
SubjectA006_Pre_TableS14,TableS14
SubjectB010_Pre_TableS14,TableS14
SubjectB018_Pre_TableS14,TableS14
SubjectB036_Pre_TableS14,TableS14
SubjectB003_Pre_TableS14,TableS14
SubjectA010_Pre_TableS14,TableS14
SubjectA011_Pre_TableS14,TableS14
SubjectB016_Pre_TableS14,TableS14
SubjectA017_Pre_TableS14,TableS14
SubjectB015_Pre_TableS14,TableS14
SubjectA021_Pre_TableS14,TableS14
SubjectB011_Pre_TableS14,TableS14
SubjectA023_Pre_TableS14,TableS14
SubjectA044_Pre_TableS14,TableS14
SubjectA046_Pre_TableS14,TableS14
SubjectA022_Pre_TableS14,TableS14
SubjectB019_Pre_TableS14,TableS14
SubjectA001_Pre_TableS14,TableS14
SubjectA014_Pre_TableS14,TableS14
SubjectB035_Pre_TableS14,TableS14
SubjectB020_Pre_TableS14,TableS14
SubjectB031_Pre_TableS14,TableS14
SubjectA047_Pre_TableS14,TableS14
SubjectB038_Pre_TableS14,TableS14
SubjectB033_Pre_TableS14,TableS14
SubjectB009_Pre_TableS14,TableS14
SubjectA005_Pre_TableS14,TableS14
SubjectB037_Pre_TableS14,TableS14
SubjectA002_Pre_TableS14,TableS14
SubjectA013_Pre_TableS14,TableS14
SubjectB027_Pre_TableS14,TableS14
SubjectB006_Pre_TableS14,TableS14
SubjectA016_Pre_TableS14,TableS14
SubjectA012_Pre_TableS14,TableS14
SubjectA028_Pre_TableS14,TableS14
SubjectA020_Pre_TableS14,TableS14
SubjectB025_Pre_TableS14,TableS14
SubjectB040_Pre_TableS14,TableS14
SubjectB039_Pre_TableS14,TableS14
SubjectB007_Post_TableS14,TableS14
SubjectB024_Post_TableS14,TableS14
SubjectA003_Post_TableS14,TableS14
SubjectB004_Post_TableS14,TableS14
SubjectB028_Post_TableS14,TableS14
SubjectB034_Post_TableS14,TableS14
SubjectA041_Post_TableS14,TableS14
SubjectA049_Post_TableS14,TableS14
SubjectB032_Post_TableS14,TableS14
SubjectA031_Post_TableS14,TableS14
SubjectA037_Post_TableS14,TableS14
SubjectA029_Post_TableS14,TableS14
SubjectA024_Post_TableS14,TableS14
SubjectA048_Post_TableS14,TableS14
SubjectA030_Post_TableS14,TableS14
SubjectA032_Post_TableS14,TableS14
SubjectB017_Post_TableS14,TableS14
SubjectB012_Post_TableS14,TableS14
SubjectA042_Post_TableS14,TableS14
SubjectA045_Post_TableS14,TableS14
SubjectB005_Post_TableS14,TableS14
SubjectA050_Post_TableS14,TableS14
SubjectA025_Post_TableS14,TableS14
SubjectA009_Post_TableS14,TableS14
SubjectA034_Post_TableS14,TableS14
SubjectB001_Post_TableS14,TableS14
SubjectB041_Post_TableS14,TableS14
SubjectB030_Post_TableS14,TableS14
SubjectA018_Post_TableS14,TableS14
SubjectB022_Post_TableS14,TableS14
SubjectA015_Post_TableS14,TableS14
SubjectB021_Post_TableS14,TableS14
SubjectA043_Post_TableS14,TableS14
SubjectB002_Post_TableS14,TableS14
SubjectA036_Post_TableS14,TableS14
SubjectA033_Post_TableS14,TableS14
SubjectA007_Post_TableS14,TableS14
SubjectA040_Post_TableS14,TableS14
SubjectA008_Post_TableS14,TableS14
SubjectB013_Post_TableS14,TableS14
SubjectA026_Post_TableS14,TableS14
SubjectA006_Post_TableS14,TableS14
SubjectB010_Post_TableS14,TableS14
SubjectB018_Post_TableS14,TableS14
SubjectB036_Post_TableS14,TableS14
SubjectB003_Post_TableS14,TableS14
SubjectA010_Post_TableS14,TableS14
SubjectA011_Post_TableS14,TableS14
SubjectB016_Post_TableS14,TableS14
SubjectA017_Post_TableS14,TableS14
SubjectB015_Post_TableS14,TableS14
SubjectA021_Post_TableS14,TableS14
SubjectB011_Post_TableS14,TableS14
SubjectA023_Post_TableS14,TableS14
SubjectA044_Post_TableS14,TableS14
SubjectA046_Post_TableS14,TableS14
SubjectA022_Post_TableS14,TableS14
SubjectB019_Post_TableS14,TableS14
SubjectA001_Post_TableS14,TableS14
SubjectA014_Post_TableS14,TableS14
SubjectB035_Post_TableS14,TableS14
SubjectB020_Post_TableS14,TableS14
SubjectB031_Post_TableS14,TableS14
SubjectA047_Post_TableS14,TableS14
SubjectB038_Post_TableS14,TableS14
SubjectB033_Post_TableS14,TableS14
SubjectB009_Post_TableS14,TableS14
SubjectA005_Post_TableS14,TableS14
SubjectB037_Post_TableS14,TableS14
SubjectA002_Post_TableS14,TableS14
SubjectA013_Post_TableS14,TableS14
SubjectB027_Post_TableS14,TableS14
SubjectB006_Post_TableS14,TableS14
SubjectA016_Post_TableS14,TableS14
SubjectA012_Post_TableS14,TableS14
SubjectA028_Post_TableS14,TableS14
SubjectA020_Post_TableS14,TableS14
SubjectB025_Post_TableS14,TableS14
SubjectB040_Post_TableS14,TableS14
SubjectB039_Post_TableS14,TableS14
